"","session_ID","weekdayName","weekNumber","timeOfDay","total_sessDur","totalDistance","averageSpeed","averageAltitude","averageHeartRate","sessionDuration","totalCalories","userID","dayDateCol","timeCol","age","weight","gender","cluster","sessionDurationSeconds","sessionDurationFormatted3","startOfWeek"
"1",2,"Wednesday",1,"morning",NA,30.48,"31.78","23.97","89.37",40.77,"661.0","U1000000",2021-03-10,1899-12-31 07:00:00,33,80,"MALE","1",2446,"00:40:46",2021-03-08
"2",2,"Wednesday",1,"morning",NA,24.6,"27.16","34.15","124.01",37.87,"575.0","U1000000",2021-03-10,1899-12-31 06:00:00,33,80,"MALE","1",2272,"00:37:52",2021-03-08
"3",2,"Wednesday",1,"night",NA,0.95,"25.38","50.21","85.37",1.52,"31.0","U1000000",2021-03-10,1899-12-31 05:00:00,33,80,"MALE","1",91,"00:01:31",2021-03-08
"4",3,"Wednesday",1,"morning",NA,4.71,"24.87","17.23","83.6",9.63,"117.0","U1000000",2021-03-10,1899-12-31 08:00:00,33,80,"MALE","1",578,"00:09:38",2021-03-08
"5",10,"Sunday",1,"morning",NA,6.92,"31.06","61.9","139.97",8.98,"210.0","U1000000",2021-03-14,1899-12-31 08:00:00,33,80,"MALE","2",539,"00:08:59",2021-03-08
"6",10,"Sunday",1,"morning",NA,25.97,"30.74","16.83","106.38",35.12,"496.0","U1000000",2021-03-14,1899-12-31 07:00:00,33,80,"MALE","1",2107,"00:35:07",2021-03-08
"7",11,"Sunday",1,"morning",NA,21.1,"32.34","47.38","117.98",25.82,"489.0","U1000000",2021-03-14,1899-12-31 08:00:00,33,80,"MALE","2",1549,"00:25:49",2021-03-08
"8",11,"Sunday",1,"morning",NA,45047,"32.94","47.15","119.03",6.73,"121.0","U1000000",2021-03-14,1899-12-31 09:00:00,33,80,"MALE","1",404,"00:06:44",2021-03-08
"9",13,"Sunday",1,"morning",NA,45075,"26.47","47.76","111.11",8.78,"155.0","U1000000",2021-03-14,1899-12-31 10:00:00,33,80,"MALE","1",527,"00:08:47",2021-03-08
"10",16,"Tuesday",2,"night",NA,2.39,"24.48","36.48","61.83",4.77,"55.0","U1000000",2021-03-16,1899-12-31 05:00:00,33,80,"MALE","1",286,"00:04:46",2021-03-15
"11",17,"Tuesday",2,"morning",NA,26.77,"29.09","56.4","85.49",40.15,"668.0","U1000000",2021-03-16,1899-12-31 06:00:00,33,80,"MALE","1",2409,"00:40:09",2021-03-15
"12",17,"Tuesday",2,"morning",NA,11.39,"28.37","43.1","121.7",17.5,"270.0","U1000000",2021-03-16,1899-12-31 07:00:00,33,80,"MALE","1",1050,"00:17:30",2021-03-15
"13",22,"Friday",2,"morning",NA,33.27,"32.91","29.12","151.57",44.5,"506.0","U1000000",2021-03-19,1899-12-31 06:00:00,33,80,"MALE","2",2670,"00:44:30",2021-03-15
"14",22,"Friday",2,"night",NA,17.11,"26.87","45.93","158.19",27.23,"365.0","U1000000",2021-03-19,1899-12-31 05:00:00,33,80,"MALE","2",1634,"00:27:14",2021-03-15
"15",27,"Friday",3,"morning",NA,27.61,"30.3","38.92","166.49",35.72,"647.0","U1000000",2021-03-26,1899-12-31 07:00:00,33,80,"MALE","2",2143,"00:35:43",2021-03-22
"16",27,"Friday",3,"morning",NA,29.07,"29.5","45.95","167.17",39.07,"657.0","U1000000",2021-03-26,1899-12-31 06:00:00,33,80,"MALE","2",2344,"00:39:04",2021-03-22
"17",32,"Wednesday",4,"morning",NA,33.57,"34.56","20.99","170.29",41.88,"673.0","U1000000",2021-03-31,1899-12-31 06:00:00,33,80,"MALE","2",2513,"00:41:53",2021-03-29
"18",32,"Wednesday",4,"morning",NA,2.64,"25.4","20.31","171.12",4.57,"85.0","U1000000",2021-03-31,1899-12-31 07:00:00,33,80,"MALE","2",274,"00:04:34",2021-03-29
"19",32,"Wednesday",4,"night",NA,19.51,"32.03","41.51","170.76",25.57,"423.0","U1000000",2021-03-31,1899-12-31 05:00:00,33,80,"MALE","2",1534,"00:25:34",2021-03-29
"20",33,"Thursday",4,"morning",NA,28.33,"29.17","14.52","133.04",39.63,"613.0","U1000000",2021-04-01,1899-12-31 07:00:00,33,80,"MALE","2",2378,"00:39:38",2021-03-29
"21",33,"Thursday",4,"morning",NA,24.45,"25.64","26.95","144.88",40.5,"494.0","U1000000",2021-04-01,1899-12-31 06:00:00,33,80,"MALE","2",2430,"00:40:30",2021-03-29
"22",34,"Saturday",4,"afternoon",NA,36.47,"30.91","6.72","184.4",27.27,"922.0","U1000000",2021-04-03,1899-12-31 13:00:00,33,80,"MALE","2",1636,"00:27:16",2021-03-29
"23",34,"Saturday",4,"afternoon",NA,16.12,"27.06","5.41","170.76",29.85,"425.0","U1000000",2021-04-03,1899-12-31 12:00:00,33,80,"MALE","2",1791,"00:29:51",2021-03-29
"24",35,"Sunday",4,"morning",NA,22.01,"27.69","22.73","150.23",30.72,"558.0","U1000000",2021-04-04,1899-12-31 09:00:00,33,80,"MALE","2",1843,"00:30:43",2021-03-29
"25",35,"Sunday",4,"morning",NA,0.53,"27.51","30.84","153.9",0.8,"16.0","U1000000",2021-04-04,1899-12-31 10:00:00,33,80,"MALE","1",48,"00:00:48",2021-03-29
"26",36,"Tuesday",5,"night",NA,44959,"21.61","27.41","126.45",4.35,"46.0","U1000000",2021-04-06,1899-12-31 05:00:00,33,80,"MALE","1",261,"00:04:21",2021-04-05
"27",37,"Tuesday",5,"morning",NA,29.05,"30.33","42.33","126.46",40.43,"680.0","U1000000",2021-04-06,1899-12-31 06:00:00,33,80,"MALE","2",2426,"00:40:26",2021-04-05
"28",50,"Monday",6,"evening",NA,9.97,"27.5","-7.47","122.22",14.07,"217.0","U1000000",2021-04-12,1899-12-31 17:00:00,33,80,"MALE","1",844,"00:14:04",2021-04-12
"29",50,"Monday",6,"evening",NA,13.84,"25.89","31.02","127.89",21.27,"350.0","U1000000",2021-04-12,1899-12-31 18:00:00,33,80,"MALE","1",1276,"00:21:16",2021-04-12
"30",55,"Friday",6,"evening",NA,0.81,"23.15","31.06","146.56",1.97,"29.0","U1000000",2021-04-16,1899-12-31 16:00:00,33,80,"MALE","1",118,"00:01:58",2021-04-12
"31",55,"Friday",6,"evening",NA,12,"21.48","43.47","159.55",24.93,"542.0","U1000000",2021-04-16,1899-12-31 17:00:00,33,80,"MALE","2",1496,"00:24:56",2021-04-12
"32",56,"Saturday",6,"morning",NA,45200,"30.6","45.22","126.34",13.87,"249.0","U1000000",2021-04-17,1899-12-31 07:00:00,33,80,"MALE","1",832,"00:13:52",2021-04-12
"33",57,"Saturday",6,"morning",NA,11.75,"25.48","42.98","156.68",20.67,"268.0","U1000000",2021-04-17,1899-12-31 07:00:00,33,80,"MALE","2",1240,"00:20:40",2021-04-12
"34",57,"Saturday",6,"morning",NA,24.42,"26.81","58.21","150.73",40.3,"560.0","U1000000",2021-04-17,1899-12-31 09:00:00,33,80,"MALE","2",2418,"00:40:18",2021-04-12
"35",57,"Saturday",6,"morning",NA,45052,"27.16","36.46","150.54",7.85,"113.0","U1000000",2021-04-17,1899-12-31 10:00:00,33,80,"MALE","1",471,"00:07:51",2021-04-12
"36",57,"Saturday",6,"morning",NA,21.49,"25.57","76.0","164.72",37.45,"620.0","U1000000",2021-04-17,1899-12-31 08:00:00,33,80,"MALE","2",2247,"00:37:27",2021-04-12
"37",62,"Saturday",7,"morning",NA,0.13,"13.4","173.41","169.66",0.48,"14.0","U1000000",2021-04-24,1899-12-31 09:00:00,33,80,"MALE","1",29,"00:00:29",2021-04-19
